Date,Reviews,Username,Stars,Helpful
1-Aug-18,"Very helpful on my daily commute, it got me to work a couple of times mb es by avoiding wrecks that would have made me late. Up to date info",A Google user,Rated 5 stars out of five stars,1
5-Aug-18,"I do not need car pool, but UI keeps opening the carpool page No offline mode. Fails to store report and send when there is reception. Does not reconnect in the areas with spotty reception.",A Google user,Rated 4 stars out of five stars,4
4-Aug-18,"Waze is awesome! Best one we have found. We tell our friends about it too. 5 stars even though it gets a little confused now & then. Lol! It's still the best though! I went into settings & found that parents can put an alert on, to make sure they don't forget their kids. WOW, good going Waze. Thi...
Full Review",Rhonna Smith,Rated 5 stars out of five stars,
6-Aug-18,I hate carpool. This needs a way to completely disable it. I constantly open it from the map on accident and it's very frustrating.,Trace Myers,Rated 1 stars out of five stars,
3-Aug-18,Waze used to be a great app but I don't know what happened to it. It is constantly searching for a network source and I never have GPS connections anymore. I am uninstalling it after many years of use and going to Google maps which is fantastic and never let's me down.,Maxine King,Rated 2 stars out of five stars,1
30-Jul-18,"The navigation part of this app works and kudos to you for that. Unfortunately you've recently changed it so you must log into facebook to share your ride. Why? Why why why? The only person I would generally share my ride with is my wife going to and from work. Now we can't share this ride anymo...
Full Review",Jeff Cooke,Rated 3 stars out of five stars,
1-Aug-18,"This used to be 5 stars ! Had WAZE for 7 years now .ETA is totally messed up ! It tells my contacts and myself an ETA ( journey ) will be 10 minutes ... when infact it should be 45 minutes ! Can no longer see the person on the map that sent the ETA either This has been going on for far too long !...
Full Review",Shaun Knowles,Rated 3 stars out of five stars,2
1-Aug-18,"Love the app but the GPS lags almost 100% of the time and I have a 65 mile commute to work everyday. I don't know if this is an android thing or a blackberry thing but please fix it. I really want to ride my motorcycle to work but I don't know the back roads and now this app can only find me for ...
Full Review",Kyra Roque,Rated 3 stars out of five stars,
4-Aug-18,"While driving, the app lost the route several times. When locking your phone ( ex if you take a stop) you lose your route. Even during driving, the app just closed and when I reopened it, the route was gone. Won't be using again.",Daan Verleyen,Rated 1 stars out of five stars,3
31-Jul-18,"Overall I love Waze. However, I wish it would let me propose /alter a route and see how'd I fare. Icc/200 in MD is usually faster than the beltway, but Waze doesn't acknowledge the major road.",Melissa Davey,Rated 4 stars out of five stars,1
