Date,Reviews,Username,Stars,Helpful
5-Aug-18,"Hardly detects location if set to ""battery saving"" mode. Also, every now and again,,, don't know why, the 'keep map north up' is being enabled!! By itself!!!! Maybe the app's updates does this... don't know!!!!!",HShM SERAG,Rated 1 stars out of five stars,1
1-Aug-18,New update is very poor. App freezes and kicks me out of Google maps when I try to load a destination. Can you sort this please,Karl Conway,Rated 1 stars out of five stars,8
1-Aug-18,"I DON'T WANT TO WALK!!!! I use this exclusively for driving my work truck doing utility work. Even when I'm only going half a block I HAVE TO TAKE MY TRUCK WITH ME. Please for the love of God add a no walking option. I have ""drive my car"" selected as my preferred travel method BUT IT STILL GIVES ...
Full Review",Robert Thompson,Rated 5 stars out of five stars,5
4-Aug-18,"I've logged tens of thousands of miles using this app, from as far back as on a pre-iPhone Blackberry. It just keeps getting better and better.",Chris Joseph,Rated 5 stars out of five stars,2
1-Aug-18,"This app is very useful . Bt I took new mobile.in this new mobile whenever I tried to search place,it's showing can't connect maps ,pls try again later..in my another mobile it's works properly in same network nd place ..how to fix this problem..pls help me.. I m not going to use my old Mobile a...
Full Review",sarmita rani,Rated 1 stars out of five stars,6
1-Aug-18,Last update won't allow you to type in an address unless you turn on the gps function and give location permissions. Bite me you ever intrusive spying sob's.,A Google user,Rated 1 stars out of five stars,9
5-Aug-18,"Great navigation, commute, and traffic updater app. There are some errors in the name of the roads etc especially in the place where I live. I did try to send a suggestion / comment but they didn't try to correct it. It didn't seem like the editing feature is available. It has been like that for...
Full Review",Kristine Constante,Rated 4 stars out of five stars,
5-Aug-18,Having problems since it's been updated as its become unresponsive to my touch screen. Touchscreen works perfectly in other apps but not on this one and it's frustrating,Charlotte Jones,Rated 3 stars out of five stars,
1-Aug-18,It was very good but it is giving me trouble. It became so bad and heavy. I just don't need that many features just make it lighter.,Anirban Bhattacharjee,Rated 2 stars out of five stars,2
4-Aug-18,"For years this app has avoided including a massive feature that was available on the desktop version of maps, which was the ability to get an estimate of a trip time on another day of the week based on traffic averages. This is massively useful if trying to plan a trip, why it's not included is ...
Full Review",Ryan Ayley,Rated 1 stars out of five stars,
1-Aug-18,It's a good app but every time i use it it keeps losing my gps signal and then i end up missing a turn or something else other than that it works good.,A Google user,Rated 3 stars out of five stars,5
31-Jul-18,I don't really use it so frequent as I found the route it show is correct but how it lead and bring you to the destination is not really accurate. So to play safe I just don't use it anymore.,samano lai,Rated 3 stars out of five stars,5
2-Aug-18,"When I start driving directions, the north facing view is more confusing than helpful. The app knows I'm driving, it would be nice if directions started in that view.",A Google user,Rated 4 stars out of five stars,3
2-Aug-18,"The points for the local guide keeps reducing. When you write to the team, enquiring abt it.... No response!!! Why have functionality if it doesn't work right?",Karthik Natarajan,Rated 3 stars out of five stars,1
5-Aug-18,"Really good but really annoying and constant notification if you don't want to give it access to your telephone, calendar and microphone. Please remove this constant notification, I am aware parts won't work and it just drains my battery!!!!",Rachel N,Rated 4 stars out of five stars,
6-Aug-18,"This app was working good, I liked it so much but now it does not open. Just shows a black screen and doesn't open. Please fix this",Xoo Vhan,Rated 4 stars out of five stars,
1-Aug-18,"The app accepts routes further from my target because of a few minutes less, I end up miles off course with no change in time except now longer miles and traffic goes bad. Need a direct route and not accept a route change automatically from the one I already selected. I can't stare at my phone t...
Full Review",Jerry Smith,Rated 3 stars out of five stars,
1-Aug-18,"Every time I open the app, there's this glitch that comes in the center of the phone screen. My phone freezes and I have to lock the screen then wait for a few minutes.. why does it do that??",Aidan Papaol,Rated 1 stars out of five stars,5
6-Aug-18,Wondering how you use the new globe view. Cant figure it out...,Ryan,Rated 5 stars out of five stars,
5-Aug-18,"Used to be a good app, but not so much anymore. Turn-for-turn directions aren't very good and longest route is always given instead of a shorter one.",gigira78,Rated 2 stars out of five stars,
2-Aug-18,Doesn't give u accurate or not even give approximate traffic alert correct. Every time its wrong . It should include Bus transport,sandeeps singh,Rated 1 stars out of five stars,2
6-Aug-18,For some reason the app keeps saying I am offline or it says searching for GPS it does not know where I am and does not give me proper directions please fix.,Migdalia Sanchez,Rated 1 stars out of five stars,3
1-Aug-18,Map goes black and freezes cant find how to change to miles other settings wast of time Google maps a lot better,Julian Davey,Rated 1 stars out of five stars,8
2-Aug-18,"After update, it keep showing offline status even my phone network is working. So i can't see anymore the photos and reviews",Gladys Ngiaw,Rated 2 stars out of five stars,3
6-Aug-18,"The app no longer shows me ratings or reviews of POI - instead shows me 'See your match', unlike on the webpage. How do I edit my match function? Under Explore', the Foodie list gives me the reviews but as soon as click on the suggestion, the review/rating disappears.",Ariel Nguyen,Rated 2 stars out of five stars,
3-Aug-18,What is the point in rerouting traffic around a 35-minute delay if it's going to take an hour and a half on the detour?!?!?!? So frustrated right now!,A Google user,Rated 1 stars out of five stars,1
5-Aug-18,Not bad but still needs work. Traffic routing is strange at times and where is the speed limit option? I'd like to see it. Didn't you acquire Waze?,A Google user,Rated 3 stars out of five stars,
6-Aug-18,"It's so slow (and I'm using an Android phone).... Stop adding features, make it faster please.",Abraham Lam,Rated 1 stars out of five stars,
3-Aug-18,Hopefully this update will fix the freezing up issue Ive been having. Havent been able to use this app for about a month now cause the screen will freeze up and will do nothing.,Nina Seehusen,Rated 4 stars out of five stars,
6-Aug-18,I frequently used it on my s8+ but suddenly it keeps force closing and doesn't allow me to open the application. Please fix this bug.,Fikri Priambodo,Rated 1 stars out of five stars,2
6-Aug-18,The new update allows for a small window to appear in the corner of your phone. This is disruptive and annoying!,Roxanne Morales,Rated 2 stars out of five stars,2
6-Aug-18,Some locationmay not work with driving navigation. It is fully stopped on a LG G7 when using in Malaysia....need some fix,A Google user,Rated 5 stars out of five stars,1
31-Jul-18,When will this reach the usefulness of WAZE? No major updates in a long time. WAZE continues to run circles around G Maps.,A Google user,Rated 3 stars out of five stars,9
5-Aug-18,It does not give fair satellite images of India like it gives of USA it is very poor app,Arvind Singh,Rated 1 stars out of five stars,2
5-Aug-18,Worked great untill ur scaled last bug fix update. Did nothing but screw up its accuracy and degrade its usefulness,James Tipton,Rated 2 stars out of five stars,
4-Aug-18,Can't stand the new mini map that floats on top when you are using another app. At the very least an option to disable this and get the previous behavior is needed.,A Silverstein,Rated 3 stars out of five stars,
3-Aug-18,Using google maps from many years but latest update is disaster. Not connecting search of any places on My LG G6 and Samsung C7 pro,A Google user,Rated 1 stars out of five stars,4
3-Aug-18,"Any place I search.. I am getting ""can't connect"" message after today's(8/2/18) update.. Not sure if it's because of update or something else but it's not working properly now..",A Google user,Rated 2 stars out of five stars,3
6-Aug-18,Used to be my best app just about two years ago but somehow Google managed to make it super annoying. I don't get that first person view option; the orientation of the map is not in line with the direction I am heading. This used to be a pretty straightforward app to use.,Oshomha Obemeata,Rated 3 stars out of five stars,
1-Aug-18,I don't know what happened but nowadays the map jus loads nd i doesn't get any response i have op5 is there anyone with same prob,adil shaikh,Rated 1 stars out of five stars,6
4-Aug-18,"From home to bristol and back to wales, today the freaking app took me everywere but on the right route, it did shut down at one point, it wasn't indicating anything at all, a white spot instead of an arrow and the map was upside down, lucky me it had the vojce that was working otherwise i was l...
Full Review",A Google user,Rated 1 stars out of five stars,
2-Aug-18,Sorry Google but stop raping my personal location info. Permission refused for location and it makes this unusable. I want a MAP not a tracker...,A Google user,Rated 1 stars out of five stars,3
3-Aug-18,"I don't understand what is happening with this app it don't shows me my current location,even if GPS is on 24 hours a day very frustrating!!!!",A Google user,Rated 2 stars out of five stars,1
5-Aug-18,It would make more sence if the aap could just tell you that you've taken a wrong turn before rerouting. This will save a lot of time and unnecessary travel.,abhishika awale,Rated 3 stars out of five stars,
5-Aug-18,App was great. With all the new things you keep adding has made it suck. Extremely slow...,Jason Anderson,Rated 1 stars out of five stars,
3-Aug-18,its getting worse and worse day by day.. whenever i open this app not to check out details of a place it always shows 'can't connect'.. please help,Mr. Looper,Rated 1 stars out of five stars,1
3-Aug-18,Super slow on my s7 edge oreo. Takes forever to search and start directions.,pramod chennupati,Rated 1 stars out of five stars,2
5-Aug-18,Significantly less responsive than previous versions. Search results are shower too,Christopher Gray,Rated 3 stars out of five stars,1
